,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
921,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,244349.57,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79
922,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,259700.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.79
946,2016M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1804.62,LIQUIGAS SPA,DEPT OF THE ARMY,2.79
947,2016M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.79
948,2016M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",6181.25,MARSHALL DISTRIBUTING COMPANY,DEFENSE LOGISTICS AGENCY,2.79
949,2016M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",12544.71,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.79
1017,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,4500.0,SCHLUMBERGER TECHNOLOGY CORPORATION,"ENERGY, DEPARTMENT OF",2.79
1018,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",5075.0,ACETYLENE SUPPLY COMPANY,"VETERANS AFFAIRS, DEPARTMENT OF",2.79
1019,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,4870.0,"MASS TANK INSPECTION SERIVICES, LLC",NATIONAL INSTITUTES OF HEALTH,2.79
1020,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,21876.65,"PHOENIX INTEGRITY CONSULTANTS, LLC",INDIAN HEALTH SERVICE,2.79
1021,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,45533.09,NATIONS GAS TECHNOLOGIES INC.,INDIAN HEALTH SERVICE,2.79
1022,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",3450.0,ENVIRONMENTAL MANAGEMENT CONSERVATION OIL CORP.,DEPT OF THE NAVY,2.79
1023,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,139112.45,"INTERSPEC, LLC",DEPT OF THE ARMY,2.79
1024,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,R&D- ENERGY: PETROLEUM (BASIC RESEARCH),285000.0,BOURGOYNE ENGINEERING LLC,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.79
1025,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,274366.67,"H&O CONTRACTING, LLC",DEPT OF THE ARMY,2.79
1104,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,COMPRESSORS AND VACUUM PUMPS,34900.0,"RADEFARK ENTERPRISES INTERNATIONAL, INC",DEPT OF THE NAVY,2.79
1105,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8489.19,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79
1106,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",53589.23,NORTHERN ENERGY CORPORATION,U.S. FISH AND WILDLIFE SERVICE,2.79
1107,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",241081.55,"DELTA COALS, LLC",DEPT OF THE NAVY,2.79
1108,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",464437.47,"DELTA COALS, LLC",DEPT OF THE NAVY,2.79
1109,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"TWIN EAGLE RESOURCE MANAGEMENT, LLCTIGER NATURAL GAS, INC.",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.79
1110,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2999.62,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.79
1111,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10142.99,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.79
1112,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,12275.19,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.79
1113,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17514.12,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.79
1114,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17754.31,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.79
1115,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,38507.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.79
1116,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,116031.09,GAS SOUTH LLC,FEDERAL LAW ENFORCEMENT TRAINING CENTER,2.79
1152,2016M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.79
1153,2016M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3923.09,LIQUIGAS SPA,DEPT OF THE ARMY,2.79
1154,2016M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"KEY COOPERATIVEAMERIGAS PROPANE, L.P.AMERIGAS PROPANE, L.P.",AGRICULTURAL RESEARCH SERVICEDEPT OF THE ARMYDEPT OF THE ARMY,2.79
1233,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,4676.75,"VIRGIN ISLANDS REGULATED WASTE MANAGEMENT, INC",DEPT OF THE ARMY,2.79
1234,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,14086.15,"PETRO 49, INC.",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.79
1235,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",9750.0,DIESEL FUEL MASTERS LLC,DEPT OF THE ARMY,2.79
1236,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",28551.0,"CVC ENVIRONMENTAL, INC.",NATIONAL PARK SERVICE,2.79
1237,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NEWSPAPERS AND PERIODICALS,24563.06,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79
1238,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,9380.24,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.79
1239,2016M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- REGULATORY,89000.0,"WESTERN PUMP, INC.",DEPT OF THE NAVY,2.79
1367,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8768.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.97
1368,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,9065.82,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.97
1369,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5999.24,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.97
1370,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,9885.48,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.97
1371,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,26330.13,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.97
1372,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,271476.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.97
1373,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,88396.83,"EL PASO J.A.G., INC.",DEPT OF THE AIR FORCE,2.97
1374,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",29271.99,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.97
1375,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",30000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.97
1376,2016M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,12369144.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",PUBLIC BUILDINGS SERVICE,2.97
1408,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"PYRAMID TECHNOLOGIES, LLCPYRAMID TECHNOLOGIES, LLC",DEPT OF THE ARMYDEPT OF THE ARMY,2.97
1409,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,747.04,ENERGAS SPA,DEPT OF THE ARMY,2.97
1410,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6276.94,LIQUIGAS SPA,DEPT OF THE ARMY,2.97
1411,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.97
1412,2016M09,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.97
1413,2016M09,NATURAL GAS LIQUID EXTRACTION,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",4526.0,D & M AUTO PARTS CORP,"STATE, DEPARTMENT OF",2.97
1511,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EDUCATION/TRAINING- INFORMATION TECHNOLOGY/TELECOMMUNICATIONS TRAINING,48823.64,SCHLUMBERGER TECHNOLOGY CORPORATION,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.97
1512,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,19375.0,"SELDOVIA FUEL AND LUBE, INC.",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.97
1513,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,6911.8,AIRGAS USA LLC,DEPT OF THE NAVY,2.97
1514,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,120000.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.97
1515,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- SERVICE AND TRADE EQUIPMENT,4700.0,"BILLY PAPE PLUMBING, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.97
1516,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,151294.4,IO ENVIRONMENTAL AND INFRASTRUCTURE INCORPORATED,"VETERANS AFFAIRS, DEPARTMENT OF",2.97
1517,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,41323255.57,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY,2.97
1518,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NEWSPAPERS AND PERIODICALS,103912.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.97
1519,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,127638.0,COMMOMWEALTH TANK INC,DEPT OF THE AIR FORCE,2.97
1520,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,420003.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.97
1521,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- ADMINISTRATIVE: OTHER,5402.64,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.97
1522,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: EXPERT WITNESS,89374.9,"KBSEIS, LLC",INTERNAL REVENUE SERVICE,2.97
1535,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,4519.42,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.95
1536,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,9284.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.95
1537,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33352.6,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.95
1538,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33593.68,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.95
1539,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,119544.24,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.95
1540,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,120000.0,AMEREN CORPORATION,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1541,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,133295.66,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.95
1542,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150000.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE AIR FORCE,2.95
1543,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,193931.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.95
1544,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,344847.34,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1545,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,83225.76,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1546,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,6000.0,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1547,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,38628.84,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1548,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,62885.06,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1549,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,97819.75,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,2.95
1550,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,109737.53,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1551,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,131066.66,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1552,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,242801.2,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1553,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,244008.63,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1554,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,369032.26,"CENTERPOINT ENERGY SERVICES, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1555,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,440000.0,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1556,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,450000.0,"SAGE ENERGY TRADING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1557,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- OTHER,478435.8,BP ENERGY COMPANY,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1564,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2366.63,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.95
1565,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3381.5,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.95
1566,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6318.13,LIQUIGAS SPA,DEPT OF THE ARMY,2.95
1567,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17970.12,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.95
1568,2016M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,52892.6,"PYRAMID TECHNOLOGIES, LLC",DEPT OF THE ARMY,2.95
1569,2016M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",12380.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.95
1570,2016M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",59685.27,BSE PERFORMANCE LLC,DEPT OF THE NAVY,2.95
1636,2016M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"BOBBY TAYLOR OIL CO., INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.95
1655,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"AMMUNITION, OVER 125MM",0.0,"POLYMER TECHNOLOGIES, INC.",DEPT OF THE ARMY,2.5
1656,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"AMMUNITION, OVER 125MM",159910.4,"POLYMER TECHNOLOGIES, INC.",DEPT OF THE ARMY,2.5
1657,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,4663.82,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.5
1658,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLCENSPIRE ENERGY, LLCCONSTELLATION NEWENERGY - GAS DIVISION, LLCNATIONAL FUEL RESOURCES, INC.",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.5
1659,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,46606.06,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.5
1660,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150895.79,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.5
1661,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196133.99,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.5
1662,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,261465.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.5
1663,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,504665.13,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.5
1664,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,616380.33,"INTEGRYS ENERGY SERVICES - NATURAL GAS, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.5
1665,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,638872.72,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.5
1666,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT,9554.34,"FRANKLIN UNITED, INC.",DEPT OF THE ARMY,2.5
1667,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,61384.75,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.5
1668,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,259037.8,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.5
1669,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,633092.33,"SAGE ENERGY TRADING, LLC",DEPT OF THE ARMY,2.5
1670,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- WATER,129051.23,PENNSYLVANIA - AMERICAN WATER COMPANY,CENTERS FOR DISEASE CONTROL AND PREVENTION,2.5
1683,2016M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2211.35,LIQUIGAS SPA,DEPT OF THE ARMY,2.5
1684,2016M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.5
1685,2016M11,NATURAL GAS LIQUID EXTRACTION,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,15079.37,"BOWMAN GAS AND OIL COMPANY, INC.",NATIONAL PARK SERVICE,2.5
1686,2016M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.5
1687,2016M11,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",42069.39,MIDLAND SERVICES INC,NATIONAL PARK SERVICE,2.5
1688,2016M11,NATURAL GAS LIQUID EXTRACTION,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,2423.69,"SANTIAGO, ROBERTO",DEPT OF THE ARMY,2.5
1748,2016M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- SERVICE AND TRADE EQUIPMENT,5320.0,"UPCHURCH SERVICES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.5
1749,2016M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",13251.0,HOOSIER EQUIPMENT SERVICE INC.,"VETERANS AFFAIRS, DEPARTMENT OF",2.5
1768,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7605.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.58
1769,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",448694.9,"DELTA COALS, LLC",DEPT OF THE NAVY,3.58
1770,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"WGL ENERGY SERVICES, INC.DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,3.58
1771,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,39902.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,3.58
1772,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,429007.48,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE AIR FORCE,3.58
1773,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,444258.97,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.58
