,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
6617,2019M07,NATURAL GAS EXTRACTION,UTILITIES- GAS,187992.68,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.36
6618,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.36
6619,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36
6620,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1176.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36
6621,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,87013.42,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.36
6622,2019M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.36
6659,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,13111.09,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.36
6660,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,13275.11,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.36
6661,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,39982.52,PETER HEMPT GMBH,DEPT OF THE ARMY,2.36
6662,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,48090.86,MIDLAND SERVICES INC,NATIONAL PARK SERVICE,2.36
6663,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING,66896.0,IHS GLOBAL INC.,BUREAU OF LAND MANAGEMENT,2.36
6664,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,6735.0,"CLEAN FUELS ASSOCIATES, INC.",NATIONAL PARK SERVICE,2.36
6665,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,0.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.36
6717,2019M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"AMMUNITION, OVER 125MM",74586.0,"POLYMER TECHNOLOGIES, INC.",DEPT OF THE ARMY,2.22
6737,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLCTIGER NATURAL GAS, INC.SAGE ENERGY TRADING, LLCSYMMETRY ENERGY SOLUTIONS, LLCUGI ENERGY SERVICES, LLCCONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.22
6738,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,202042.33,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.22
6739,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,249309.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.22
6740,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.22
6741,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,980.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.22
6742,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4606.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.22
6743,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6623.15,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE,2.22
6744,2019M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.22
6819,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,13148.64,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.22
6820,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,15571.39,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.22
6821,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,58535.0,"HENRY PRODUCTION, INC.",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,2.22
6822,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- SITE PREPARATION,9544.5,"BILL WISE EXCAVATING, INC.",CENTERS FOR DISEASE CONTROL AND PREVENTION,2.22
6823,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,R&D- ENERGY: PETROLEUM (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),80000.0,NATIONAL ACADEMY OF SCIENCES,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.22
6824,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,542448.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.22
6937,2019M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,41576.9,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.58
6938,2019M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,86208.83,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.58
6939,2019M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,97923.46,GAS SOUTH LLC,FEDERAL LAW ENFORCEMENT TRAINING CENTER,2.58
6940,2019M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,278067.63,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.58
6941,2019M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,160091.56,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.58
6942,2019M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,225000.0,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE AIR FORCE,2.58
6943,2019M09,NATURAL GAS EXTRACTION,UTILITIES- OTHER,318443.48,"UGI ENERGY SERVICES, LLC",INTERNAL REVENUE SERVICE,2.58
6944,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.58
6945,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58
6946,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58
6947,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,980.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58
6948,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3430.2,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE,2.58
6949,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5349.4,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.58
6950,2019M09,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.58
7048,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"DIGITAL MAPS, CHARTS AND GEODETIC PRODUCTS",132545.52,"GEOPHYSICAL PURSUIT, INC.",BUREAU OF RECLAMATION,2.58
7049,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,1143120.33,CLEAR CREEK ENERGY LLC,BUREAU OF LAND MANAGEMENT,2.58
7050,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- PIPE, TUBING, HOSE, AND FITTINGS",17257.0,"MEARS GROUP, INC.",NATIONAL TRANSPORTATION SAFETY BOARD,2.58
7051,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,0.0,MISCELLANEOUS FOREIGN AWARDEESBROCO OIL,"STATE, DEPARTMENT OFVETERANS AFFAIRS, DEPARTMENT OF",2.58
