total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
26387.64,2019M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"MOOWEEP, LLC",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
117217.0,2020M02,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,DRILLING OIL AND GAS WELLS,"SUNBELT ENVIRONMENTAL SERVICES, INC.",US GEOLOGICAL SURVEY
10000.0,2016M07,SUPPORT- PROFESSIONAL: EXPERT WITNESS,SUPPORT ACTIVITIES FOR COAL MINING,JAMES LUPPENS CONSULTANT,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT"
7261.1,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"APPALACHIAN AGGREGATES, LLC",FOREST SERVICE
55000.0,2019M12,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",RAILROAD RETIREMENT BOARD
305.3,2018M01,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
1719.66,2017M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BDS SUPPLY,DEFENSE LOGISTICS AGENCY
0.0,2017M08,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CENTERPOINT ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY
12400.31,2018M02,FUEL OILS,CRUDE PETROLEUM EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
708.34,2021M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"JGILS, LLC",DEFENSE LOGISTICS AGENCY
189.74,2017M01,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,GASKETS ORINGS RUBBER INC,DEFENSE LOGISTICS AGENCY
54.15,2020M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"JLG INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
872.83,2018M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
17577.5,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"KRAEMER COMPANY, LLC, THE",DEPT OF THE ARMY
0.0,2018M05,"MINERAL CONSTRUCTION MATERIALS, BULK",DIMENSION STONE MINING AND QUARRYING,EAGLE ROCK INCORPORATED,FOREST SERVICE
5760.0,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CRIDER BROS LIME CO INC,NATIONAL PARK SERVICE
14024.95,2017M03,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OLGOONIK OILFIELD SERVICES, LLC",US GEOLOGICAL SURVEY
7258.13,2020M06,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY
11653.58,2016M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"GREER INDUSTRIES, INC.",FOREST SERVICE
14175.0,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"MILLER MATERIALS, INC.",DEPT OF THE ARMY
16833.24,2019M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
446.0,2018M07,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,LYNN ELECTRONICS CORP.,DEFENSE LOGISTICS AGENCY
3566.42,2016M06,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
8019.06,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,PHOENIX TRADING INC.,DEFENSE LOGISTICS AGENCY
12162.84,2019M05,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2748.6,2018M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,HARLOW AEROSTRUCTURES LLC,DEFENSE LOGISTICS AGENCY
17000.0,2019M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"KW TRUCKING, INC.",U.S. FISH AND WILDLIFE SERVICE
20857.08,2019M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"MARTIN MARIETTA MATERIALS, INC.",U.S. FISH AND WILDLIFE SERVICE
175250.0,2016M06,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",CONSTRUCTION SAND AND GRAVEL MINING,"SCHNETZER ENGINEERING, INC.",FOREST SERVICE
35000.0,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,LASALLE SAND & GRAVEL L.L.P.,NATIONAL PARK SERVICE
875.0,2016M04,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
159846.95,2021M01,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"MJL ENTERPRISES, LLC",DEPT OF THE ARMY
61849.64,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,EVANS GRADER SERVICE,BUREAU OF RECLAMATION
25200.0,2016M11,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,GOVERNMENT MLO SUPPLIES USA INC,NATIONAL PARK SERVICE
122034.67,2020M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
0.0,2017M10,"MINERALS, NATURAL AND SYNTHETIC",CONSTRUCTION SAND AND GRAVEL MINING,"BAYER CONSTRUCTION COMPANY, INC.",DEPT OF THE ARMY
332.0,2017M10,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
246.4,2018M03,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
6829.24,2019M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
16976.7,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,WHITE HOUSE- LOGISTIC SERVICES AND CONSTRUCTION LTD,DEPT OF THE ARMY
5269.6,2020M03,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
11728.26,2020M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
13945.06,2020M03,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
24987.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
196.0,2020M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
23271.0,2019M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
11389.4,2016M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,NATIONAL PARK SERVICE
6977.41,2018M01,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,XELESS CONSTRUCTION,"STATE, DEPARTMENT OF"
3871.15,2019M08,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"M & M AEROSPACE HARDWARE, INC.",DEFENSE LOGISTICS AGENCY
126.18,2018M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
11213.46,2019M03,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
0.0,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"CROWLEY HOLDINGS, LLC",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
196.0,2018M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
12600.0,2016M03,ARCHITECT AND ENGINEERING- CONSTRUCTION: AMMUNITION FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,"KRITZ EXCAVATING AND TRUCKING, INC.",DEPT OF THE ARMY
25784.8,2017M08,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
