total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
168,1/7/2021,1/7/2021,3/15/2021 0:00,3/15/2021 0:00,DEFENSE LOGISTICS AGENCY,"LONGHORN REGIONAL SERVICE CENTER, LLC",KILLEEN,BELL,TX,5331,O-RING,213113,SUPPORT ACTIVITIES FOR COAL MINING
209672.5,7/22/2020,7/22/2020,6/1/2021 0:00,6/1/2021 0:00,U.S. FISH AND WILDLIFE SERVICE,"ROY BAILEY CONSTRUCTION, INC.",BELL CITY,CAMERON,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
253448.65,5/1/2018,5/1/2018,11/9/2018 0:00,11/9/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,"J. TAYLOR CONSTRUCTION, LLC",CROSSETT,ASHLEY,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212311,DIMENSION STONE MINING AND QUARRYING
27690.5,9/24/2017,9/24/2017,9/30/2018 0:00,9/30/2018 0:00,DEPT OF THE NAVY,"EVOLVE CONSTRUCTION SERVICES,LLC",NIXA,CHRISTIAN,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
42433.53,6/5/2019,6/5/2019,10/15/2019 0:00,10/15/2019 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,"DIRECT ENERGY BUSINESS MARKETING, LLC",ISELIN,MIDDLESEX,NJ,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
29870,8/26/2019,8/26/2019,9/20/2019 0:00,9/20/2019 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,"METALS TREATMENT TECHNOLOGIES, LLC",ARVADA,JEFFERSON,CO,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,212230,"COPPER, NICKEL, LEAD, AND ZINC MINING"
377,7/22/2021,7/22/2021,12/1/2021 0:00,12/1/2021 0:00,DEFENSE LOGISTICS AGENCY,"LONGHORN REGIONAL SERVICE CENTER, LLC",KILLEEN,BELL,TX,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
29400,2/5/2017,2/5/2017,2/15/2017 0:00,2/15/2017 0:00,DEPT OF THE ARMY,JAMAL AL AALEM CO,BAGHDAD,,,5445,PREFABRICATED TOWER STRUCTURES,212321,CONSTRUCTION SAND AND GRAVEL MINING
586289.42,9/17/2015,9/17/2015,2/9/2018 0:00,2/9/2018 0:00,NATIONAL PARK SERVICE,"PIEDMONT ENVIRONMENTAL SCIENCES, INC.",MORRISVILLE,WAKE,NC,Z2NE,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,213111,DRILLING OIL AND GAS WELLS
11994.25,12/16/2020,12/16/2020,3/31/2021 0:00,3/31/2021 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"PALMERTON & PARRISH, INC.",SPRINGFIELD,GREENE,MO,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
947.58,10/26/2017,10/26/2017,3/30/2018 0:00,3/30/2018 0:00,DEPT OF THE ARMY,ENERGAS SPA,NAPOLI,,,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
295.87,11/6/2017,11/6/2017,4/5/2018 0:00,4/5/2018 0:00,DEFENSE LOGISTICS AGENCY,ERA INDUSTRIAL SALES CORP INC,COMMACK,SUFFOLK,NY,5355,KNOBS AND POINTERS,213113,SUPPORT ACTIVITIES FOR COAL MINING
27036.67,5/30/2019,5/30/2019,6/5/2019 0:00,6/5/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EZ,CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
906478.08,9/24/2021,9/22/2021,5/31/2022 0:00,5/31/2022 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"GULF HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
3887.46,5/25/2012,5/25/2012,6/18/2012 0:00,6/18/2012 0:00,DEPT OF THE NAVY,"MARINE EQUIPMENT, INC",HOUSTON,HARRIS,TX,2090,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
59.72,9/7/2016,9/7/2016,10/7/2016 0:00,10/7/2016 0:00,DEFENSE LOGISTICS AGENCY,FRANKLIN SOUTHERN MANUFACTURING LLC,JACKSONVILLE,DUVAL,FL,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
1498.92,8/21/2018,8/21/2018,12/19/2018 0:00,12/19/2018 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
122780.73,5/19/2021,5/19/2021,5/19/2021 0:00,5/19/2021 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
95996.89,6/24/2016,6/24/2016,3/10/2017 0:00,3/10/2017 0:00,DEPT OF THE AIR FORCE,"ENERGY WEST RESOURCES, INC",GREAT FALLS,CASCADE,MT,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
9743.7,10/21/2020,10/21/2020,7/6/2021 0:00,7/6/2021 0:00,DEFENSE LOGISTICS AGENCY,"KAMPI COMPONENTS CO., INC.",FAIRLESS HILLS,BUCKS,PA,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
2178,8/12/2021,8/12/2021,8/20/2021 0:00,8/20/2021 0:00,DEPT OF THE ARMY,TAMBOR QUIMICO,SAN PEDRO SULA,,,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
212100,1/16/2019,1/16/2019,4/22/2019 0:00,4/22/2019 0:00,DEPT OF THE ARMY,"COONEY FERTILIZER, INC.",WALTHILL,THURSTON,NE,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
605.77,10/18/2019,10/18/2019,11/18/2019 0:00,11/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
98,11/26/2019,11/26/2019,12/6/2019 0:00,12/6/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
592.2,3/7/2016,3/7/2016,5/25/2016 0:00,5/25/2016 0:00,DEFENSE LOGISTICS AGENCY,"T & L SALES, LLC",GREAT FALLS,CASCADE,MT,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
19320,9/18/2018,8/21/2018,10/30/2018 0:00,10/30/2018 0:00,NATIONAL PARK SERVICE,GOVERNMENT MLO SUPPLIES USA INC,BETHESDA,MONTGOMERY,MD,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
0,11/16/2015,11/16/2015,10/21/2016 0:00,10/21/2016 0:00,DEFENSE LOGISTICS AGENCY,"AVIALL SERVICES, INC.",DFW AIRPORT,DALLAS,TX,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,6/2/2017,5/26/2017,,,DEPT OF THE ARMY,"HEESONG GEOTEK CO., LTD.",SONGNAM,,,H299,EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
5976,11/24/2015,11/24/2015,12/15/2015 0:00,12/15/2015 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,LITTLE ROCK,PULASKI,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
17816.56,7/26/2016,7/26/2016,10/3/2016 0:00,10/3/2016 0:00,DEPT OF THE ARMY,BSE PERFORMANCE LLC,PEORIA,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
2152.58,4/11/2017,4/11/2017,8/9/2017 0:00,8/9/2017 0:00,DEFENSE LOGISTICS AGENCY,"DAVIS AIRCRAFT PRODUCTS CO., INC.",BOHEMIA,SUFFOLK,NY,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
354.37,9/21/2021,9/21/2021,1/24/2022 0:00,1/24/2022 0:00,DEFENSE LOGISTICS AGENCY,"HYSTER-YALE GROUP, INC.",DANVILLE,VERMILION,IL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
