total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
4461.22,8/3/2018,8/7/2018,1/31/2019 0:00,1/31/2019 0:00,US GEOLOGICAL SURVEY,"MARK J. TRAUT WELLS, INC",WAITE PARK,STEARNS,MN,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
6992.76,11/2/2017,11/2/2017,11/9/2017 0:00,11/9/2017 0:00,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT,HAWALLI,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212399,ALL OTHER NONMETALLIC MINERAL MINING
3622.39,10/6/2017,10/6/2017,2/5/2018 0:00,2/5/2018 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
3195,3/9/2016,3/9/2016,4/26/2016 0:00,4/26/2016 0:00,DEFENSE LOGISTICS AGENCY,JAMAICA BEARINGS CO INC,NEW HYDE PARK,NASSAU,NY,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
139200.45,2/7/2018,12/31/2017,12/31/2017 0:00,12/31/2017 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
33107.3,3/15/2020,3/15/2020,4/4/2020 0:00,4/30/2021 0:00,"STATE, DEPARTMENT OF","INSPECTION EXPERTS, INC.",LINCOLN,LANCASTER,NE,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
158.49,4/16/2020,4/16/2020,5/18/2020 0:00,5/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2482.5,3/21/2017,3/21/2017,8/28/2017 0:00,8/28/2017 0:00,DEFENSE LOGISTICS AGENCY,TRIMAN INDUSTRIES INC,WEST BERLIN,CAMDEN,NJ,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
234990.28,1/10/2020,12/1/2019,1/10/2020 0:00,1/10/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
5923.82,3/3/2016,3/3/2016,3/31/2016 0:00,3/31/2016 0:00,"STATE, DEPARTMENT OF",NEW PIG CORPORATION,TIPTON,BLAIR,PA,6810,CHEMICALS,213111,DRILLING OIL AND GAS WELLS
650.52,9/9/2016,9/9/2016,11/18/2016 0:00,11/18/2016 0:00,DEFENSE LOGISTICS AGENCY,MELTON SALES & SERVICE,COLUMBUS,BURLINGTON,NJ,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
12380,10/19/2016,10/19/2016,10/24/2016 0:00,10/24/2016 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,ROGERS PETROLEUM INC.,MORRISTOWN,HAMBLEN,TN,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211112,NATURAL GAS LIQUID EXTRACTION
63138.9,8/23/2018,8/23/2018,9/22/2018 0:00,9/22/2018 0:00,DEPT OF THE AIR FORCE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,9620,"MINERALS, NATURAL AND SYNTHETIC",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
3430.2,9/26/2019,9/26/2019,9/26/2019 0:00,9/26/2019 0:00,DEPT OF THE AIR FORCE,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DORTMUND,,,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
0,7/13/2021,7/16/2021,,,DEPT OF THE ARMY,AL QABANDI UNITED FOR GENERAL TRADING AND CONT CO,KUWAIT CITY,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
23000,9/22/2021,9/21/2021,10/31/2021 0:00,10/31/2021 0:00,AGRICULTURAL RESEARCH SERVICE,ZUM MALLEN ROCK & GRAIN CORPORATION,OKARCHE,KINGFISHER,OK,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
332700,5/8/2020,5/8/2020,7/17/2020 0:00,7/17/2020 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
17.86,10/17/2016,10/17/2016,12/15/2016 0:00,12/15/2016 0:00,DEFENSE LOGISTICS AGENCY,HOWCO DISTRIBUTING CO.,VANCOUVER,CLARK,WA,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
1577,2/28/2019,2/28/2019,2/28/2019 0:00,2/28/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
9380.24,8/3/2016,8/3/2016,10/23/2016 0:00,10/23/2016 0:00,DEPT OF THE ARMY,"DIDIM CONSTRUCTION CO., LTD.",TAEGU,,,H999,OTHER QC/TEST/INSPECT- MISCELLANEOUS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
235384.24,12/16/2016,12/16/2016,5/1/2017 0:00,5/1/2017 0:00,NATIONAL PARK SERVICE,K & K CONSTRUCTION INC,MOAB,GRAND,UT,9620,"MINERALS, NATURAL AND SYNTHETIC",212321,CONSTRUCTION SAND AND GRAVEL MINING
12760,9/26/2017,9/26/2017,10/10/2017 0:00,10/10/2017 0:00,DEPT OF THE ARMY,"SANCO CONSTRUCTION, INC.",FAYETTEVILLE,CUMBERLAND,NC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
2610,8/26/2019,8/26/2019,10/25/2019 0:00,10/25/2019 0:00,DEFENSE LOGISTICS AGENCY,EQUIPMENT PARTS SALES,HALIFAX,DAUPHIN,PA,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
10447.5,7/16/2020,6/15/2020,8/15/2020 0:00,8/15/2020 0:00,U.S. FISH AND WILDLIFE SERVICE,"KRAEMER COMPANY, LLC, THE",PLAIN,SAUK,WI,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
11934,2/14/2019,2/14/2019,8/5/2019 0:00,8/5/2019 0:00,DEFENSE LOGISTICS AGENCY,GALAXY DIE & ENGINEERING INC,SANTA CLARITA,LOS ANGELES,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
35000,10/23/2019,10/18/2019,9/30/2020 0:00,9/30/2020 0:00,DEPT OF THE ARMY,"SUBURBAN PROPANE PARTNERS, L.P.",WHIPPANY,MORRIS,NJ,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
211,4/3/2018,4/3/2018,4/11/2018 0:00,4/11/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
139112.45,7/27/2016,8/8/2016,8/7/2021 0:00,8/7/2021 0:00,DEPT OF THE ARMY,"INTERSPEC, LLC",VIRGINIA BEACH,VIRGINIA BEACH (CITY),VA,J099,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
10147.5,9/21/2016,9/20/2016,12/31/2016 0:00,12/31/2016 0:00,DEPT OF THE ARMY,SCHAEFER CONTRACTING,CARLYLE,CLINTON,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
8.25,7/21/2017,7/21/2017,9/13/2017 0:00,9/13/2017 0:00,DEFENSE LOGISTICS AGENCY,"OSHKOSH DEFENSE, LLC",OSHKOSH,WINNEBAGO,WI,5331,O-RING,213113,SUPPORT ACTIVITIES FOR COAL MINING
4095,4/10/2017,4/10/2017,6/19/2017 0:00,6/19/2017 0:00,DEFENSE LOGISTICS AGENCY,"DE NIZ, CARLOS",LOS ANGELES,LOS ANGELES,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
35387.42,9/22/2017,6/27/2017,10/26/2017 0:00,10/26/2017 0:00,DEPT OF THE ARMY,W. A. ELLIS CONSTRUCTION CO,INDEPENDENCE,JACKSON,MO,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212311,DIMENSION STONE MINING AND QUARRYING
1213.35,12/17/2020,12/17/2020,1/19/2021 0:00,1/19/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
9999.3,9/12/2018,9/12/2018,11/30/2018 0:00,11/30/2018 0:00,"STATE, DEPARTMENT OF","US 21, INC.",FAIRFAX,FAIRFAX,VA,6930,OPERATION TRAINING DEVICES,212399,ALL OTHER NONMETALLIC MINERAL MINING
195,10/31/2016,10/31/2016,12/12/2016 0:00,12/12/2016 0:00,DEFENSE LOGISTICS AGENCY,GOLDMAN AND ASSOCIATES,HERMOSA BEACH,LOS ANGELES,CA,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
900,3/31/2016,3/31/2016,4/30/2016 0:00,4/30/2016 0:00,DEPT OF THE ARMY,"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,MONTGOMERY,PA,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211112,NATURAL GAS LIQUID EXTRACTION
139864.89,8/28/2017,8/28/2017,3/29/2018 0:00,3/29/2018 0:00,BUREAU OF LAND MANAGEMENT,K & K CONSTRUCTION INC,MOAB,GRAND,UT,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
972,1/2/2018,1/2/2018,1/16/2018 0:00,1/16/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
4482,7/7/2016,7/7/2016,7/26/2016 0:00,7/26/2016 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,LITTLE ROCK,PULASKI,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
11961.72,9/19/2019,9/19/2019,7/31/2020 0:00,7/31/2020 0:00,U.S. FISH AND WILDLIFE SERVICE,"STAGGS EXCAVATING, INC.",PLEASANT PLAINS,INDEPENDENCE,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
10000,2/2/2018,2/2/2018,4/30/2018 0:00,4/30/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
17250,7/30/2019,7/30/2019,9/30/2019 0:00,9/30/2019 0:00,FOREST SERVICE,"WESTERN STATES SOIL CONSERVATION, INC.",HUBBARD,MARION,OR,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
82530.66,4/27/2021,5/1/2021,5/31/2021 0:00,5/31/2021 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
8850,1/5/2021,1/5/2021,1/31/2021 0:00,1/31/2021 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,SCHAEFER CONTRACTING,CARLYLE,CLINTON,IL,3630,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
9556.67,10/21/2019,10/21/2019,2/29/2020 0:00,2/29/2020 0:00,AGRICULTURAL RESEARCH SERVICE,"DEWEESE SAND & GRAVEL, INC.",EDGAR,CLAY,NE,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
4305.45,9/12/2016,9/12/2016,10/18/2016 0:00,10/18/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1FZ,CONSTRUCTION OF OTHER RESIDENTIAL BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
191,10/13/2017,10/13/2017,3/12/2018 0:00,3/12/2018 0:00,DEFENSE LOGISTICS AGENCY,PHOENIX TRADING INC.,ROCKVILLE,MONTGOMERY,MD,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,10/23/2019,10/1/2019,10/31/2019 0:00,10/31/2019 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
451.72,10/18/2016,10/18/2016,1/3/2017 0:00,1/3/2017 0:00,DEFENSE LOGISTICS AGENCY,RUTA SUPPLIES INC.,DOVER,MORRIS,NJ,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
1795.25,7/5/2017,7/5/2017,9/20/2017 0:00,9/20/2017 0:00,DEFENSE LOGISTICS AGENCY,KLX AEROSPACE SOLUTIONS DEFENSE LLC,O FALLON,ST. CHARLES,MO,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,10/22/2020,4/1/2021,,,DEFENSE LOGISTICS AGENCY,"WGL ENERGY SERVICES, INC.",VIENNA,FAIRFAX,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
302.6,10/18/2017,10/18/2017,10/31/2017 0:00,10/31/2017 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
4650,9/22/2016,9/22/2016,9/23/2016 0:00,9/23/2016 0:00,DEPT OF THE ARMY,"MILLER MATERIALS, INC.",VICKSBURG,WARREN,MS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
5000,10/13/2017,10/19/2017,9/30/2018 0:00,9/30/2018 0:00,DEPT OF THE ARMY,"SUBURBAN PROPANE PARTNERS, L.P.",WHIPPANY,MORRIS,NJ,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
283,5/11/2018,5/11/2018,5/16/2018 0:00,5/16/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
6473.48,5/25/2016,5/25/2016,6/30/2016 0:00,6/30/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,C1FA,ARCHITECT AND ENGINEERING- CONSTRUCTION: FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
6305.32,9/26/2016,9/26/2016,7/24/2017 0:00,7/24/2017 0:00,DEFENSE LOGISTICS AGENCY,F P A MANUFACTURING,LAS CRUCES,DOÑA ANA,NM,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,4/26/2016,4/26/2016,,,DEPT OF THE NAVY,PLEIN SOLEIL MER ROUGE SARL,DJIBOUTI,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
339804.64,10/1/2018,10/1/2018,11/4/2019 0:00,11/4/2019 0:00,"VETERANS AFFAIRS, DEPARTMENT OF","SAGE ENERGY TRADING, LLC",JENKS,TULSA,OK,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
10528.83,9/3/2021,9/3/2021,9/29/2021 0:00,12/15/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
28267.16,4/2/2021,4/2/2021,4/29/2021 0:00,4/29/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1PA,CONSTRUCTION OF RECREATION FACILITIES (NON-BUILDING),212321,CONSTRUCTION SAND AND GRAVEL MINING
14892,6/13/2019,6/13/2019,6/20/2019 0:00,6/20/2019 0:00,DEPT OF THE ARMY,"NEW ENTERPRISE STONE & LIME CO., INC.",NEW ENTERPRISE,BEDFORD,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
14700,3/4/2016,3/4/2016,7/8/2016 0:00,7/8/2016 0:00,DEFENSE LOGISTICS AGENCY,"C. E. MACHINE CO., INC.",WICHITA,SEDGWICK,KS,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
98,5/21/2019,5/21/2019,5/31/2019 0:00,5/31/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
17492.04,7/12/2019,7/12/2019,7/12/2019 0:00,7/12/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
15000,9/24/2019,9/24/2019,9/24/2019 0:00,9/24/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
26093.58,7/12/2019,8/1/2019,11/15/2019 0:00,11/15/2019 0:00,DEPT OF THE ARMY,"CENTERPOINT ENERGY SERVICES, INC.",HOUSTON,HARRIS,TX,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
34894,8/14/2015,8/14/2015,11/16/2015 0:00,11/16/2015 0:00,FOREST SERVICE,PITLIK & WICK INC,EAGLE RIVER,ONEIDA,WI,Z2PC,REPAIR OR ALTERATION OF UNIMPROVED REAL PROPERTY (LAND),212321,CONSTRUCTION SAND AND GRAVEL MINING
806466.15,9/26/2016,9/27/2016,11/30/2016 0:00,11/30/2016 0:00,DEPT OF THE NAVY,TDB INTERNATIONAL LTD,NAIROBI,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
213514.72,2/1/2021,2/1/2021,4/1/2021 0:00,4/1/2021 0:00,SOCIAL SECURITY ADMINISTRATION,"JET STREAM FUELS, INC.",ORLANDO,ORANGE,FL,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
0,3/26/2021,3/26/2021,,,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT EST,HAWALLI,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
38250,8/23/2021,8/23/2021,7/30/2022 0:00,7/30/2022 0:00,NATIONAL PARK SERVICE,LYNCH CREEK QUARRY LLC,PUYALLUP,PIERCE,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
3829.2,10/27/2017,10/27/2017,11/10/2017 0:00,11/10/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
5100,8/31/2016,8/31/2016,4/10/2017 0:00,4/10/2017 0:00,DEFENSE LOGISTICS AGENCY,"CENTRAL MACHINING SPECIALTIES, INC.",WEST BABYLON,SUFFOLK,NY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,6/6/2012,6/4/2012,,,FEDERAL HIGHWAY ADMINISTRATION,O'KEEFE DRILLING COMPANY INC.,BUTTE,SILVER BOW,MT,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
80466.3,8/14/2017,8/14/2017,9/30/2017 0:00,11/29/2017 0:00,BUREAU OF RECLAMATION,"FRAHM CONSTRUCTION, INC.",NORTH LOUP,VALLEY,NE,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
793.47,1/12/2017,1/12/2017,9/19/2017 0:00,9/19/2017 0:00,DEFENSE LOGISTICS AGENCY,"DREAMFIND, INC.",WINTER PARK,ORANGE,FL,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
98,1/30/2019,1/30/2019,2/9/2019 0:00,2/9/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
370.55,1/17/2019,1/17/2019,2/19/2019 0:00,2/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
25441.32,9/22/2016,9/21/2016,10/31/2016 0:00,10/31/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"PENNY LEE TRUCKING, INC.",ARLINGTON,SNOHOMISH,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
7868,10/21/2016,10/21/2016,11/15/2016 0:00,11/15/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,INTERSTATE DRILLING SERVICES LLP,GRAND FORKS,GRAND FORKS,ND,W036,LEASE OR RENTAL OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,213111,DRILLING OIL AND GAS WELLS
189619.45,6/28/2016,6/28/2016,9/23/2016 0:00,9/23/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,AURORA STAR COMPANY LLC,NEWARK,NEW CASTLE,DE,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
5695,6/11/2018,6/11/2018,6/11/2018 0:00,6/11/2018 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1329925,8/10/2020,8/10/2020,12/31/2020 0:00,12/31/2020 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"MILLER MATERIALS, INC.",VICKSBURG,WARREN,MS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
3735,11/7/2016,11/7/2016,11/18/2016 0:00,11/18/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1FA,CONSTRUCTION OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
19424.02,5/14/2015,5/14/2015,5/31/2015 0:00,5/31/2015 0:00,DEPT OF THE ARMY,"PPL ENERGY PLUS, LLC",ALLENTOWN,LEHIGH,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
10021,7/9/2015,7/9/2015,12/31/2015 0:00,3/1/2016 0:00,FOREST SERVICE,KOMATSU EQUIPMENT COMPANY,SALT LAKE CITY,SALT LAKE,UT,W030,LEASE OR RENTAL OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
13395.89,9/22/2016,9/22/2016,10/2/2016 0:00,10/2/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,3920,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED",212321,CONSTRUCTION SAND AND GRAVEL MINING
80552.15,3/27/2019,3/27/2019,3/29/2019 0:00,3/29/2019 0:00,DEPT OF THE ARMY,"DIRECT ENERGY BUSINESS MARKETING, LLC",ISELIN,MIDDLESEX,NJ,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
44640,3/8/2017,3/8/2017,4/21/2017 0:00,4/21/2017 0:00,NATIONAL PARK SERVICE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
